,Course_Name,Course_Description,Lectures_Num,Course_Level,Course_hours,Rate,Number_Rates
0,complete python bootcamp go zero hero python,learn python like professional start basic go way creating application game jose portilla,185,All Levels,24,4.5,229492
1,data science course complete data science bootcamp,complete data science training mathematics statistic python advanced statistic python machine deep learning career,471,All Levels,29,4.5,45837
2,complete web development bootcamp,become fullstack web developer one course html cs javascript node react mongodb angela yu,463,All Levels,535,4.7,37617
3,machine learning az handson python r data science,learn create machine learning algorithm python r two data science expert code template included kirill eremenko,294,All Levels,415,4.5,106337
4,web developer bootcamp,course need learn web development html cs j node colt steele,402,All Levels,47,4.6,153435
5,java programming masterclass software developer,learn java course become computer programmer obtain valuable core java skill java certification tim buchalka,400,All Levels,805,4.6,98404
6,react complete guide incl hook react router redux,dive learn reactjs scratch learn reactjs hook redux react routing animation nextjs way academind maximilian schwarzmüller,543,All Levels,45,4.6,63203
7,complete javascript course build real project,master javascript complete course project challenge quiz javascript e oop ajax webpack jonas schmedtmann,166,All Levels,28,4.6,62841
8,python data science machine learning bootcamp,learn use numpy panda seaborn matplotlib plotly scikitlearn machine learning tensorflow jose portilla,164,All Levels,25,4.5,62766
9,io swift complete io app development bootcamp,beginner io app developer one course fully updated comprehensive module dedicated swiftui angela yu,544,All Levels,585,4.7,30925
10,angular complete guide edition,master angular formerly angular build awesome reactive web apps successor angularjs maximilian schwarzmüller,504,All Levels,37,4.6,106200
11,complete python developer zero mastery,become python developer get hired build project learn web development machine learning andrei neagoie,322,All Levels,305,4.6,6044
12,docker mastery kubernetes swarm docker captain,build test deploy container best megacourse docker kubernetes compose swarm registry using devops bret fisher,172,All Levels,195,4.6,30756
13,ultimate mysql bootcamp go sql beginner expert,become indemand sql master creating complex database building report realworld project colt steele,320,Beginner,205,4.6,33045
14,ultimate aws certified developer associate new,become aws certified developer learn aws certified developer associate topic pas certified developer exam stephane maarek aws certified solution architect developer,220,All Levels,19,4.6,14179
15,learn python programming masterclass,python beginner course teach python language fast includes python online training python tim buchalka,316,All Levels,50,4.5,34198
16,docker kubernetes complete guide,build test deploy docker application kubernetes learning productionstyle development workflow stephen grider,305,All Levels,22,4.6,21897
17,deep learning az handson artificial neural network,learn create deep learning algorithm python two machine learning data science expert template included kirill eremenko,189,All Levels,23,4.5,27220
18,complete flutter development bootcamp dart,officially created collaboration google flutter team angela yu,230,All Levels,28,4.7,8458
19,modern javascript bootcamp course,uptodate j resource online master javascript building beautiful portfolio project colt steele,483,All Levels,52,4.7,1842
20,learn flutter dart build io android apps,complete guide flutter sdk flutter framework building native io android apps academind maximilian schwarzmüller,605,All Levels,59,4.6,15843
21,beginning c programming beginner beyond,obtain modern c objectoriented programming oop stl skill needed game system application development tim buchalkas learn programming academy,266,All Levels,395,4.5,17688
22,complete c unity developer learn code making game,game development design learn unity c first unity game web mac pc includes tilemap ben tristem,221,All Levels,35,4.7,68847
23,python mega course build real world application,complete python course beginner intermediate master python making amazing python apps ardit sulce,264,All Levels,24,4.5,32337
24,complete web developer zero mastery,learn code become web developer html cs javascript react nodejs machine learning andrei neagoie,335,All Levels,35,4.7,29964
25,javascript complete guide beginner advanced,modern javascript beginning way j expert level musthave javascript resource academind maximilian schwarzmüller,614,All Levels,525,4.7,3361
26,complete nodejs developer course rd edition,learn nodejs building realworld application node express mongodb jest andrew mead,177,All Levels,345,4.7,40272
27,complete react developer w redux hook graphql,become senior react developer build massive ecommerce app redux hook graphql contextapi stripe firebase andrei neagoie,335,All Levels,40,4.6,5039
28,complete c unity developer learn code making game,game development design learn c using unity engine first unity game web mac pc ben tristem,216,All Levels,34,4.6,15815
29,nodejs complete guide incl mvc rest apis graphql,master node j build rest apis nodejs graphql apis add authentication use mongodb sql much academind maximilian schwarzmüller,487,All Levels,365,4.7,12895
30,build responsive real world website html cs,easiest way learn modern web design html cs stepbystep scratch design code huge project jonas schmedtmann,77,All Levels,12,4.6,33784
31,react native practical guide,use react native react knowledge take web development skill build native io android apps academind maximilian schwarzmüller,488,All Levels,455,4.7,11242
32,advanced cs sas flexbox grid animation,advanced modern cs course internet master flexbox cs grid responsive design much jonas schmedtmann,125,Intermediate,28,4.8,18419
33,learning python data analysis visualization,learn python use analyzevisualize present data includes ton sample code hour video jose portilla,110,All Levels,21,4.4,12620
34,unreal engine c developer learn c make video game,created collaboration epic game learn c basic making first video game unreal ben tristem,303,All Levels,485,4.6,39016
35,complete web developer course,learn web development building website mobile apps using html cs javascript php python mysql rob percival,308,All Levels,305,4.5,55068
36,vue j complete guide incl vue router vuex,vuejs awesome javascript framework building frontend application vuejs mix best angular react maximilian schwarzmüller,400,All Levels,22,4.7,33813
37,spring hibernate beginner includes spring boot,spring learn spring core aop spring mvc spring security spring rest spring boot thymeleaf jpa hibernate chad darby,561,All Levels,42,4.6,35374
38,r programming az r data science real exercise,learn programming r r studio data analytics data science statistical analysis package function ggplot kirill eremenko,80,All Levels,105,4.6,26311
39,python django full stack web developer bootcamp,learn build website html cs bootstrap javascript jquery python django jose portilla,198,All Levels,32,4.5,24682
40,automate boring stuff python programming,practical programming course office worker academic administrator want improve productivity al sweigart,51,All Levels,95,4.6,40286
41,aws certified solution architect professional latest exam,ace amazon aws certified solution architect professional new exam using unique allinone preparation guide dolfined,318,Expert,525,4.6,864
42,selenium webdriver java basic advancedframeworks,top rated best seller master selenium java course million student learning worldwide great collaboration rahul shetty,342,All Levels,55,4.6,36704
43,data structure algorithm,learn data structure algorithm scratch supported java code d guy,239,All Levels,285,4.7,34812
