,_id,Course_Name,Course_Rate,Course_Description,Lectures_Num,Course_Level,Course_hours
0,5e4113dd70dfe123d09ba3b7,complet patron bootcamp go zero hero patron 3,"4.5
(229,492 ratings)",learn patron like profession start basi go way creat applic game jose gorilla,185 lectures,All Levels,24 hours
1,5e4113dd70dfe123d09ba3b8,data scienc cours 2020 complet data scienc bootcamp,"4.5
(45,837 ratings)",complet data scienc train mathemat statist patron advanc statist patron machin deep learn 365 career,471 lectures,All Levels,29 hours
2,5e4113dd70dfe123d09ba3b9,complet 2020 web develop bootcamp,"4.7
(37,617 ratings)",becom fullstack web develop one cours html iss javascript node react mongodb angela,463 lectures,All Levels,53.5 hours
3,5e4113dd70dfe123d09ba3ba,machin learn hand patron r data scienc,"4.5
(106,337 ratings)",learn creat machin learn algorithm patron r two data scienc expert code templ includ kiril eremenko,294 lectures,All Levels,41.5 hours
4,5e4113dd70dfe123d09ba3bb,web develop bootcamp,"4.6
(153,435 ratings)",cours need learn web develop html iss node colt steel,402 lectures,All Levels,47 hours
5,5e4113dd70dfe123d09ba3bc,cava program masterclass softwar develop,"4.6
(98,404 ratings)",learn cava cours becom comput programm obtain valuabl core cava skill cava mortif tim buchalka,400 lectures,All Levels,80.5 hours
6,5e4113dd70dfe123d09ba3bd,react complet guid inch hook react outer red,"4.6
(63,203 ratings)",dive learn react scratch learn react hook red react routin anim next way academ maximilian schwarzmüller,543 lectures,All Levels,45 hours
7,5e4113dd70dfe123d09ba3be,complet javascript cours 2020 build real project,"4.6
(62,841 ratings)",master javascript complet cours project challeng quir javascript est top ajar webpack jone schmedtmann,166 lectures,All Levels,28 hours
8,5e4113dd70dfe123d09ba3bf,patron data scienc machin learn bootcamp,"4.5
(62,766 ratings)",learn use jump hand seaboard matplotlib slowli scikitlearn machin learn tensorflow jose gorilla,164 lectures,All Levels,25 hours
9,5e4113dd70dfe123d09ba3c0,13 swift 5 complet pp develop bootcamp,"4.7
(30,925 ratings)",beginn pp develop one cours fulli updat comprehens modul dedic swiftli angela,544 lectures,All Levels,58.5 hours
10,5e4113dd70dfe123d09ba3c1,angular 9 complet guid 2020 edit,"4.6
(106,200 ratings)",master angular formerli angular 2 build awesom reactiv web ape successor angular maximilian schwarzmüller,504 lectures,All Levels,37 hours
11,5e4113dd70dfe123d09ba3c2,complet patron develop 2020 zero masteri,"4.6
(6,044 ratings)",becom patron 3 develop get hire build 12 project learn web develop machin learn andrew neagoi,322 lectures,All Levels,30.5 hours
12,5e4113dd70dfe123d09ba3c3,doctor masteri kubernet swarm doctor captain,"4.6
(30,756 ratings)",build test deploy contain best megacours doctor kubernet compos swarm registri use drop bet fish,172 lectures,All Levels,19.5 hours
13,5e4113dd70dfe123d09ba3c4,ultim bootcamp go sal beginn expert,"4.6
(33,045 ratings)",becom demand sal master creat complex databas build report realworld project colt steel,320 lectures,Beginner,20.5 hours
14,5e4113dd70dfe123d09ba3c5,ultim terrifi develop associ 2020 new,"4.6
(14,179 ratings)",becom terrifi develop learn terrifi develop associ topic pass terrifi develop exam stephen mark terrifi solut architect develop,220 lectures,All Levels,19 hours
15,5e4113dd70dfe123d09ba3c6,learn patron program masterclass,"4.5
(34,198 ratings)",patron beginn cours reach patron languag fast includ patron onlin train patron 3 tim buchalka,316 lectures,All Levels,50 hours
16,5e4113e570dfe123d09ba3c7,doctor kubernet complet guid,"4.6
(21,897 ratings)",build test deploy doctor applic kubernet learn productionstyl develop workflow stephen rider,305 lectures,All Levels,22 hours
17,5e4113e570dfe123d09ba3c8,deep learn hand artifici neutral network,"4.5
(27,220 ratings)",learn creat deep learn algorithm patron two machin learn data scienc expert templ includ kiril eremenko,189 lectures,All Levels,23 hours
18,5e4113e570dfe123d09ba3c9,complet 2020 flutter develop bootcamp dart,"4.7
(8,458 ratings)",offici creat collabor goos flutter team angela,230 lectures,All Levels,28 hours
19,5e4113e570dfe123d09ba3ca,modern javascript bootcamp cours 2020,"4.7
(1,842 ratings)",updat resourc onlin master javascript build beauti portfolio project colt steel,483 lectures,All Levels,52 hours
20,5e4113e570dfe123d09ba3cb,learn flutter dart build andro ape 2020,"4.6
(15,843 ratings)",complet guid flutter sd flutter framework build nativ andro ape academ maximilian schwarzmüller,605 lectures,All Levels,59 hours
21,5e4113e570dfe123d09ba3cc,begin c program beginn beyond,"4.5
(17,688 ratings)",obtain modern c objectori program top st skill need game system applic develop tim buchalka learn program academi,266 lectures,All Levels,39.5 hours
22,5e4113e570dfe123d09ba3cd,complet c uniti develop learn code make game,"4.7
(68,847 ratings)",game develop design learn uniti 2018 c first 7 uniti game web mac pp includ tillman ben twist,221 lectures,All Levels,35 hours
23,5e4113e570dfe123d09ba3ce,patron meg cours build 10 real world applic,"4.5
(32,337 ratings)",complet patron cours beginn intermedi master patron 3 make 10 amaz patron ape audit,264 lectures,All Levels,24 hours
24,5e4113e570dfe123d09ba3cf,complet web develop 2020 zero masteri,"4.7
(29,964 ratings)",learn code becom web develop 2020 html iss javascript react node machin learn andrew neagoi,335 lectures,All Levels,35 hours
25,5e4113e570dfe123d09ba3d0,javascript complet guid 2020 beginn advanc,"4.7
(3,361 ratings)",modern javascript begin way expert level gustav javascript resourc 2020 academ maximilian schwarzmüller,614 lectures,All Levels,52.5 hours
26,5e4113e570dfe123d09ba3d1,complet node develop cours rd edit,"4.7
(40,272 ratings)",learn node build realworld applic node express mongodb jest andrew mead,177 lectures,All Levels,34.5 hours
27,5e4113e570dfe123d09ba3d2,complet react develop 2020 w red hook graph,"4.6
(5,039 ratings)",becom senior react develop build massiv commerc pp red hook graph contextapi strike firebas andrew neagoi,335 lectures,All Levels,40 hours
28,5e4113e570dfe123d09ba3d3,complet c uniti develop learn code make game,"4.6
(15,815 ratings)",game develop design learn c use uniti engin first uniti game web mac pp ben twist,216 lectures,All Levels,34 hours
29,5e4113e570dfe123d09ba3d4,node complet guid inch mac rest axi graph,"4.7
(12,895 ratings)",master node build rest axi node graph axi add authent use mongodb sal much academ maximilian schwarzmüller,487 lectures,All Levels,36.5 hours
30,5e4113e570dfe123d09ba3d5,build respons real world webster html case,"4.6
(33,784 ratings)",easiest way learn modern web design html case stepbystep scratch design code huge project jone schmedtmann,77 lectures,All Levels,12 hours
31,5e4113e570dfe123d09ba3d6,react nativ practic guid 2020,"4.7
(11,242 ratings)",use react nativ react knowledg take web develop skill build nativ andro ape academ maximilian schwarzmüller,488 lectures,All Levels,45.5 hours
32,5e4113ed70dfe123d09ba3d7,advanc iss pass flexor grid anim,"4.8
(18,419 ratings)",advanc modern iss cours internet master flexor iss grid respons design much jone schmedtmann,125 lectures,Intermediate,28 hours
33,5e4113ed70dfe123d09ba3d8,learn patron data analysi visual,"4.4
(12,620 ratings)",learn patron use analyzevisu present data includ ton sampl code hour video jose gorilla,110 lectures,All Levels,21 hours
34,5e4113ed70dfe123d09ba3d9,unreal engin c develop learn c make video game,"4.6
(39,016 ratings)",creat collabor epic game learn c basi make first 4 video game unreal ben twist,303 lectures,All Levels,48.5 hours
35,5e4113ed70dfe123d09ba3da,complet web develop cours 20,"4.5
(55,068 ratings)",learn web develop build 25 webster mobil ape use html iss javascript pp patron rob perciv,308 lectures,All Levels,30.5 hours
36,5e4113ed70dfe123d09ba3db,vue 2 complet guid inch vue outer vex,"4.7
(33,813 ratings)",view awesom javascript framework build front applic view mile best angular react maximilian schwarzmüller,400 lectures,All Levels,22 hours
37,5e4113ed70dfe123d09ba3dc,spring liber beginn includ spring boot,"4.6
(35,374 ratings)",spring 5 learn spring 5 core top spring mac spring secur spring rest spring boot 2 thymeleaf pa liber derbi,561 lectures,All Levels,42 hours
38,5e4113ed70dfe123d09ba3dd,r program r data scienc real exercis,"4.6
(26,311 ratings)",learn program r r studio data analysi data scienc statist analysi packag function ggplot2 kiril eremenko,80 lectures,All Levels,10.5 hours
39,5e4113ed70dfe123d09ba3de,patron django full stick web develop bootcamp,"4.5
(24,682 ratings)",learn build webster html iss bootstrap javascript queri patron 3 django jose gorilla,198 lectures,All Levels,32 hours
